task,gender,gender-input,age,tech-level,edu-level,s_social_skills,s_creativity,d_effort,d_expertise,d_abilities,r_accountable,r_uncertainty,r_impact,t_machine_ability,t_process,t_values,label
"Advising people on nutrition/their diet to help improve their health, similar to what a nutritionist might do",male,,56-65,3,4,4,4,3,4,4,4,4,3,4,3,4,3
"Advising people on nutrition/their diet to help improve their health, similar to what a nutritionist might do",male,,36-45,4,5,4,2,2,4,5,3,2,3,4,3,3,2
"Advising people on nutrition/their diet to help improve their health, similar to what a nutritionist might do",male,,56-65,4,5,4,2,4,4,5,3,4,2,4,4,4,2
"Advising people on nutrition/their diet to help improve their health, similar to what a nutritionist might do",female,,56-65,4,5,2,2,2,4,4,4,2,4,4,1,4,3
"Advising people on nutrition/their diet to help improve their health, similar to what a nutritionist might do",female,,56-65,4,4,2,2,2,2,4,2,2,3,4,4,4,1
Analyzing and controlling the flow of traffic in a city,female,,56-65,3,5,1,1,5,5,5,4,4,5,1,5,1,3
Analyzing and controlling the flow of traffic in a city,male,,26-35,5,5,4,3,4,4,4,4,4,5,4,4,4,2
Analyzing and controlling the flow of traffic in a city,male,,26-35,5,5,2,3,4,4,4,4,3,4,5,4,4,3
Analyzing and controlling the flow of traffic in a city,female,,46-55,3,3,2,4,4,4,4,4,4,4,4,4,3,2
Analyzing and controlling the flow of traffic in a city,female,,36-45,4,5,3,4,4,3,4,4,5,4,4,4,3,1
Analyzing and critiquing aesthetic qualities of photographs or other forms of art,male,,26-35,5,5,4,5,2,2,4,1,2,1,2,4,2,4
Analyzing and critiquing aesthetic qualities of photographs or other forms of art,male,,26-35,4,5,5,3,4,5,5,2,4,2,4,4,4,3
Analyzing and critiquing aesthetic qualities of photographs or other forms of art,female,,36-45,4,5,5,5,4,3,4,2,3,2,1,4,2,4
Analyzing and critiquing aesthetic qualities of photographs or other forms of art,female,,36-45,3,2,4,5,3,3,4,4,4,4,2,4,4,4
Analyzing and critiquing aesthetic qualities of photographs or other forms of art,female,,26-35,4,5,1,5,3,2,5,4,5,1,2,5,1,4
"Analyzing and sorting legal documents for important information, e.g., to find legal precedents for arguing a case in court (similar to some of what a paralegal might do)",male,,26-35,4,3,2,5,5,5,4,4,4,5,4,4,4,3
"Analyzing and sorting legal documents for important information, e.g., to find legal precedents for arguing a case in court (similar to some of what a paralegal might do)",male,,26-35,4,3,5,4,5,4,5,5,5,5,2,4,2,3
"Analyzing and sorting legal documents for important information, e.g., to find legal precedents for arguing a case in court (similar to some of what a paralegal might do)",male,,66-75,3,2,1,4,5,4,4,3,3,4,4,3,4,3
"Analyzing and sorting legal documents for important information, e.g., to find legal precedents for arguing a case in court (similar to some of what a paralegal might do)",male,,26-35,4,5,2,3,4,4,4,4,4,4,4,4,4,2
